first,last,age,state,weight
Mary,Troy,88,New Jersey,240.0
Marty,Hernandez,30,West Virginia,201.0
Brenda,Whitlock,39,Massachusetts,177.0
Brenda,Lindsey,29,Alabama,218.0
Jason,Pagel,84,Kansas,219.0
Edwin,Capobianco,71,Oklahoma,222.0
Latrice,Fields,62,Kansas,215.0
Julian,Caggiano,83,Arizona,219.0
Joseph,Faler,31,Montana,208.0
Peter,Kern,57,Georgia,226.0
Annette,Rehberg,74,Maryland,241.0
Evelyn,Carl,26,Alabama,243.0
Stephen,Dubois,46,New York,221.0
Teresa,Ford,42,Arkansas,170.0
Rodney,Sullivan,67,North Carolina,173.0
Deanna,Bangert,42,Maine,170.0
Amy,Spears,54,Nevada,231.0
Amy,Hicks,86,Kentucky,241.0
Alex,Hull,81,Nevada,243.0
